date,open,high,low,close,volume
2023-07-10 18:30:00,757.0,768.0,738.0,744.5,16750430.0
2023-07-11 18:30:00,747.0,751.0,740.0,743.0,11317550.0
2023-07-12 18:30:00,747.0,752.0,741.5,747.5,7470520.0
2023-07-13 18:30:00,747.5,752.0,740.0,748.0,7266000.0
2023-07-16 18:30:00,752.0,754.0,744.0,751.0,5067440.0
2023-07-17 18:30:00,752.0,755.5,737.0,742.0,13097090.0
2023-07-18 18:30:00,744.0,760.0,743.0,758.5,9759430.0
2023-07-19 18:30:00,755.0,764.0,750.0,760.0,6494360.0
2023-07-20 18:30:00,760.0,766.0,753.0,758.0,6733940.0
2023-07-23 18:30:00,758.0,764.5,756.0,758.0,5843420.0
2023-07-24 18:30:00,765.0,765.0,754.0,761.0,8508690.0
2023-07-25 18:30:00,763.5,773.5,733.0,743.0,22288660.0
2023-07-26 18:30:00,758.0,758.0,727.0,728.5,21471720.0
2023-07-27 18:30:00,732.0,739.5,721.0,738.0,10070500.0
2023-07-30 18:30:00,734.5,737.0,728.0,730.0,7493150.0
2023-07-31 18:30:00,730.0,733.0,724.5,727.0,7527650.0
2023-08-01 18:30:00,729.0,729.0,714.5,720.0,8985360.0
2023-08-02 18:30:00,717.5,722.5,702.0,711.0,10818980.0
2023-08-03 18:30:00,714.0,720.5,707.0,715.0,7313490.0
